Case Study Id,Institution,Unit of Assessment,Title,Summary of the impact
1734,"
    Middlesex University
    ",Business and Management Studies,"
    Social enterprise growth and development
    ","
    There has been a growing interest in the concept of social enterprise -
      that is organisations that are trading but with a social purpose. The
      research at Middlesex University ____has Influenced policies of state support
      to social enterprises demonstrated through references to research in
      policy documents and acknowledgement by key policy makers working in a
      range of UK national departments and Scottish Government. Research
      findings ____have influenced how government measures the size of the social
      enterprise sector and the supply of social investment funds, feeding into
      strategy documents of the Cabinet Office and supporting the development of
      Big Society Capital. Research ____has also stimulated the growth of individual
      social enterprises, with one reporting an increased turnover of 20% over 2
      years.
    "
1735,"
    University of Central Lancashire
    ","Psychology, Psychiatry and Neuroscience","
    Developing policies and procedures for managing bullying and
        aggression in secure services.
    ","
    The research focuses on developing an understanding of the nature and
      extent of bullying behaviour within secure services, which ____has extended to
      developing methods of measurement, training and policy creation. This is a
      novel research area developed by Jane Ireland and colleagues, initially at
      UCLan and in HM Prison Service. It was later extended to NHS secure
      settings and other sites nationally and internationally. Key applications
      of this research include the ____preparation of policy and strategy documents
      that have formed the basis for anti-bullying strategies in HM Prison
      Service, NHS high secure psychiatric institutions, and the Canadian
      Correctional Service.
    "
1822,"
    Ulster
    ","Sport and Exercise Sciences, Leisure and Tourism","
    The development of physical activity guidelines for public health
    ","
    Research undertaken at the Centre for Physical Activity and Health
      Research within the Sport and Exercise Sciences Research Institute ____has
      directly contributed to changes in public policy surrounding the health
      benefits of exercise and ____has informed the development of international and
      national physical activity guidelines.
    "
1857,"
    University of East Anglia
    ","Public Health, Health Services and Primary Care","
    Implementation of effective clinical practice in African primary care
    ","
    In order to reduce morbidity and mortality from HIV/AIDS, tuberculosis
      and other chronic diseases, effective and cost-effective interventions to
      strengthen primary care through in-service nurse training were put in
      place as standard practice throughout South Africa (population 50
      million), based on our research. This programme has so far trained 1500
      trainers in all 8 provinces, who in turn have trained 18,000 primary care
      professionals in 1900 of all 3500 clinics nationally. South Africa, with
      5.8 million HIV+ people, and 500,000 newly infected with tuberculosis each
      year, based its Nurse Initiation and Monitoring of Antiretroviral
      Treatment policy on our training package and trials. These were landmark
      ____changes in primary health policy and provision in South Africa. The
      training methods and materials are also being used in Gambia, Malawi,
      Brazil and Portugal.
    "
1885,"
    Middlesex University
    ",Computer Science and Informatics,"
    ICT Inclusion and Design for All
    ","
    The case described shows that work reported in the 2008 RAE exploring the
      information seeking strategies of older users is currently having a direct
      and significant ____impact on government policy in respect of the broad area
      of digital inclusion. Impact has been influential in two primary areas:
      advice and guidance to policy making bodies and training needs for
      organisations so that design can accommodate industrial needs.
      Specifically there have been invited contributions and provision of expert
      advice to Government policy making forums and to ____lead on training for
      designing for all especially in the area of standardisation in Europe and
      worldwide, including under EU Mandate 376, which is in the process of
      establishing EU wide rules to ____ensure accessibility to information and
      communication technologies (ICT) products and services. The visible impact
      of these activities is the publication of several important reports and
      the use of the research to support the call for European Directive on the
      accessibility of public sector bodies' websites and the selection to work
      with the United Nations Committee on the Rights of Persons with
      Disabilities.
    "
1886,"
    Middlesex University
    ",Computer Science and Informatics,"
    Applied Ethics - embedding ethics in the design of technology projects
    ","
    Within the field of `computer ethics', considerations of the design
      processes required for software
      development has remained relatively neglected until the foundational work
      of Dr Penny Duquenoy
      under the direction of Prof. Harold Thimbleby helped introduce and
      establish the need for such
      concerns. The impact of the embedding of ethics in technology is
      observable by ____noting the routine
      use of ethics expert reviewers and evaluators and on Advisory Boards in EU
      funded projects since
      2007. This has been replicated by the EPSRC who also now include input
      from ethics experts into
      their programmes such as the RCUK `Global Uncertainties' initiative. At a
      professional level, ethics
      ____has also become a core consideration for the British Computer Society and
      its representations to
      the community it serves.
    "
1890,"
    Arts University Bournemouth
    ","Art and Design: History, Practice and Theory","
    Hard Times - photographic exhibition by Paul Wenham-Clarke, St
      Martin- in-the-Fields, London, 3 March - 30 June 2011
    ","
    This research impacted on two of the most important social and political
      issues to face western governments: joblessness and homelessness. Twenty
      photographic images and texts showed and described the circumstances of Big
        Issue vendors, some rough sleepers and some in temporary
      accommodation, trying to cope through the worst recession in decades and
      often feeling ostracized by society. Shown in London and Birmingham and
      cascaded across the media, it reached a wide audience. The impact of the
      exhibition and its aftermath consists in ____alerting and informing
      viewers/readers concerning the plight of joblessness and homelessness in
      the UK.
    "
1919,"
    Middlesex University
    ",Law,"
    Incorporating Socio-Economic Group Rights Within Global Development Goals
    ","
    Emerging from investigations of social exclusion during the 1990s, the
      Unit's research into minority rights has led to outputs and consultancy
      ranging across political participation, identity, rights protection and
      international criminal law. The impact claimed here falls in two main
      channels. Firstly, research on socio-economic group rights, amplified by
      Castellino's work as co-chair of the relevant UN delegated group, has made
      a significant input into the UN Sustainable Development Goals (SDGs)
      2015-30. Secondly, research ____has been incorporated into practice and
      capacity- building through projects involving judiciaries, advocates,
      statutory bodies, and NGOs. Beneficiaries include the public across 194
      states who will benefit from implementation of SDGs over their 15 years
      lifespan; and civil society bodies and their users.
    "
1975,"
    University of Ulster
    ","Psychology, Psychiatry and Neuroscience","
    Impact on Northern Ireland Policymaking from the use of findings on
      Community Relations.
    ","
    This case study refers to the body of survey research evidence on public
      attitudes to community
      relations, gathered over a period of two decades in Northern Ireland. The
      thesis on `impact' is
      that this body of work ____influenced government policies, public debate and
      good practice in
      equality procedures during the period 2008-2013. The survey results have
      become ubiquitous
      within debates and reports within/from government, political parties,
      journalists, lobbyists and
      NGOs and as a consequence have had significant and wide-ranging effects on
      Northern Ireland
      society.
    "
2011,"
    University of Ulster
    ","Music, Drama, Dance and Performing Arts","
    Influencing the development of public policy on creative digital
      participation
    ","
    This case study demonstrates sustained ____impact on UK government and
      devolved government policy in the area of creative digital participation;
      on the regional implementation of that policy; on publicly funded
      community initiatives that benefited from that implementation; and on the
      NI school curriculum. It will also outline the beginnings of similar
      impact on an international scale: on government education policy and
      school and university curricula in, for example, Namibia and South Africa,
      where the underpinning research has been disseminated.
    "
2398,"
    BRUNEL UNIVERSITY (H0113)
    ","Public Health, Health Services and Primary Care","
    How the development and application of techniques for assessing the
        payback (or impact) from health research informs policies to support
        health research
    ","
    Globally, many health research-funding organisations, public and
      charitable, felt the need to demonstrate to policymakers and the public
      how their investments in research were benefitting society. HERG's
      research on developing techniques for assessing the payback (or impact)
      from health research tackled this need. The payback stream of research
      itself has had significant, wide- reaching and cumulative impacts. First,
      internationally, health research funding bodies ____adopted the framework in
      their evaluation strategies, including to provide accountability. Second,
      many stakeholders ____made extensive use the findings of payback studies in
      public debate and private lobbying for public expenditure on health
      research. Third, governments, public research funding bodies and medical
      research charities, from the UK to Australia, used the findings from
      payback studies to ____inform decisions regarding the levels and distribution
      of health research funding, with the aim of increasing the health and
      economic benefits that come from investments in research.
    "
2412,"
    University of Warwick
    ",Economics and Econometrics,"
                The Economics of Happiness and Well-Being
            ","
            Professor Andrew Oswald is a pioneer in the study of the
              economics of happiness and well-being, demonstrating that
              employment, gender, age, and bereavement have a significant impact
              on happiness and giving form and substance to measures that many
              consider to have been lacking in modern governance. Oswald's
              research ____has shaped public attitudes and understanding about how
              both personal and aggregate economic outcomes ____influence individual
              happiness and ____has driven policy makers to consider happiness and
              well-being as legitimate policy goals in the UK and abroad.
            "
2419,"
    University of Warwick
    ",Sociology,"
    Improving the understanding of domestic violence within the policy
        community in Wales
    ","
    Domestic violence affects one in four women in England and Wales and two
      women are killed each week by their partner or ex-partner. It is
      recognised as an important policy issue and women's non-governmental
      organisations (NGOs) contribute to policy development at different levels
      of government. Research on gender and political processes in the context
      of devolution ____has contributed to campaigns conducted by the Violence
      Against Women Action Group in Wales, understandings of domestic violence
      within the policy community in Wales, and debates about women's political
      representation in the UK. It ____has informed debates about the use of
      statistics relating to domestic abuse and contributed to the withdrawal of
      misleading statistics from public display; ____raised questions about the
      gender-neutral definition of domestic abuse adopted by the Welsh Assembly
      Government and Swansea City Council in their domestic abuse strategies;
      ____fed into campaigns by third sector organisations relating to domestic
      abuse and violence against women; and ____contributed to and informed the
      debate on positive measures to increase the political representation of
      women.
    "
2420,"
    University of Warwick
    ",Sociology,"
    Household food security in the global North
    ","
    Building on a background in nutritional science, Professor Dowler's
      research on social and policy aspects of food, nutrition and household
      food security has created impact at local, national and international
      levels. Her membership of key national expert advisory panels and
      councils, both official and voluntary, has allowed the research to ____inform
      policy-making as well as print and broadcast media debates on many issues,
      notably the consequences of low wages and benefit cuts on the diet of
      low-income households; the role played by food banks in relieving food
      poverty and the benefits of local food networks in securing
      community-level food resilience.
    "
2531,"
    Middlesex University
    ","Psychology, Psychiatry and Neuroscience","
    Psychosocial impacts of Medically Assisted Reproduction (MAR)
    ","
    Middlesex University's Applied Health Psychology research on Medically
      Assisted Reproduction (MAR) has impacted in three areas. First, all
      Parental Order Reporters and accredited Infertility Counsellors in the UK
      are exposed to the research through standard professional training and
      practice materials. Secondly, research ____has informed Human Fertility and
      Embryology Authority (HFEA) policy on surrogacy and gamete donation.
      Thirdly, HFEA-commissioned research on elective Single Embryo Transfer
      (eSET) and stakeholder group membership ____has contributed to national
      guidelines, resulting in decreased numbers of embryos transferred in UK
      clinical practice, dramatically reducing multiple births and associated
      maternal and infant morbidity and mortality.
    "
2545,"
    Middlesex University
    ",Business and Management Studies,"
    Approaches to measuring social impact of enterprises and charities
    ","
    There is a growing demand for evidence of the impact that non
      governmental and private businesses are having. Research findings have led
      to a range of practical and policy developments related to encouraging
      organisations to measure their impact and use it both for their own
      development and to access more resources. This research has resulted in
      social impact measurement being introduced to many organisations and an
      improvement in the tools used. Research insights into how social impact
      can best be measured ____have led to changes in the practices of charities
      such as Citizens Advice and the use of a measurement tool by over 200
      smaller organisations.
    "
2578,"
    University of Warwick
    ",Education,"
    Integrating interpretive and dialogical research by Warwick Religions
        and Education Research Unit (WRERU) into European/international policy
        and practice on teaching about religions
    ","
    Research into more effective ways of teaching about religions has been
      used to develop and implement European education policy by providing
      advice to policy makers, schools and teacher trainers across Europe, and
      to create teaching/teacher-training resources. Jackson and the WRERU team
      have collaborated with major international organisations including the
      Council of Europe, the Organisation for Security and Cooperation in
      Europe, UN Alliance of Civilizations, and the Tony Blair Faith Foundation
      to promote using interpretive and dialogical approaches to teaching about
      religions. As a result, students benefit from ____improvements to religious
      and intercultural education, and teachers benefit from substantial
      training programmes and resources developed to support these approaches.
      Impact is recognised through an international award from the Religious
      Education Association (USA), to be presented in Boston, November 2013.
    "
2579,"
    University of Warwick
    ",Education,"
    Developing ""Global Skills""
    ","
    International collaborations are now core features of higher education
      and international business, yet their intercultural aspects are frequently
      overlooked. The roll-out of global initiatives is less easily matched by
      the development of ""global people"" &#8212; people who can function effectively
      in culturally diverse contexts. In order to address this challenge,
      Spencer-Oatey and colleagues have been researching the nature of this
      competence and applying their insights to the development of training
      resources. These resources have been accessed by large numbers of
      professionals and practitioners throughout the world, ____helping them grow in
      intercultural understanding, ____adapt their behaviour, and ____apply their
      insights to training others.
    "
2580,"
    University of Warwick
    ",Education,"
    Protecting training schemes in the cultural and creative sector
    ","
    Research conducted by Warwick's Centre for Educational Development,
      Appraisal and Research (CEDAR) provided vital supporting evidence for the
      continuation of funding for two Government sponsored educational schemes:
      the Dance and Drama Award scheme run by the Department for Education (DfE)
      and subsequently the Learning and Skills Council and the Royal Shakespeare
      Company's (RSC) Learning and Performance Network. Performing arts colleges
      and their students, as well as the wider creative economy, have benefitted
      from CEDAR's ____recommendation to the Government to continue the DaDA Scheme,
      resulting in a &#163;14m per annum investment in the performing arts sector,
      whilst the Training and Development Agency for Schools (TDA) commissioned
      CEDAR to evaluate the impact of the RSC's Learning and Performance Network
      (LPN) on teachers and learners, resulting in a successful bid by the RSC
      for funding to continue the LPN. The research also ____fed into the
      development of a collaborative practitioner training programme with the
      RSC, Teaching Shakespeare, launched in 2012.
    "
2581,"
    University of Warwick
    ",Education,"
    Improving provision for children with speech, language and
        communication needs
    ","
    This case study demonstrates how research into children with speech,
      language and communication needs (SLCN) has had impact by ____influencing
      government policy and legislation, ____improving provision for children and
      their parents, ____providing resources and support for voluntary
      organisations, and assisting local authorities and trusts in the
      management of SLCN services. The research informed the 2008 Bercow Review
      of Provision for Children with SLCN, which in turn led to the Department
      for Education (DfE) Better Communication Action Plan for improving
      educational provision. Further research by the team, carried out as part
      of this Action Plan, underpinned the All Party Parliamentary Group on
      Speech and Language Difficulties 2013 report and the development of the
      Children and Families Bill 2013. In addition, the team have collaborated
      extensively with practitioners and voluntary organisations including a
      comprehensive two-year DfE funded programme with the Communication Trust
      (2013-15) to educate and ____raise awareness of SLCN among its 50 constituent
      organisations and develop practitioners' knowledge and skills.
    "
2734,"
    University of Greenwich
    ",Modern Languages and Linguistics,"
    Language learning and teaching in Macedonia: policy and delivery
    ","
    Inter-ethnic communication was identified as key to building social
      stability in Macedonia after the political turmoil of 1999-2001. But the
      three main ethnic groups - Serbian, Macedonian and Albanian - had only a
      low level knowledge of each other's languages. Professor Benati was able
      to apply his pioneering research on how best to help people learn a second
      language to ____provide the basis for (a) a fundamental change in the
      country's language education policy and (b) a significant improvement in
      grammar teaching methodology throughout Macedonia.
    "
2776,"
    University of Central Lancashire
    ",Physics,"
    Outreach and research-informed public engagement in astronomy
    ","    Published and grant-awarded research in astrophysics and solar physics at
      UCLAN has
      underpinned a very large number of public lectures throughout the world
      (e.g. Edinburgh Science
      Festival, Harvard, NASA, IAC Tenerife, Perimeter Institute Canada,
      University of Cape Town,
      Astrofest London, etc.) during the impact reporting period 2008-2013,
      delivered by Professors
      Gibson, Kurtz, Ward-Thompson, Walsh and the rest of the staff in UoA9. The
      most prestigious of
      these have been delivered to large (typically several hundred to a few
      thousand people) sell-out
      audiences. Our staff have appeared on TV and radio to audiences of
      millions. In addition, public
      outreach events led by astrophysics and solar physics staff members at
      UCLAN have further
      increased the societal impact of our research."
2788,"
    University of Central Lancashire
    ","Architecture, Built Environment and Planning","
    The Open-Air Laboratories Project
    ","
    The Open-Air Laboratories (OPAL) project was funded by a &#163;14.4 million
      grant from The Big Lottery Fund and represented one of the largest public
      participation initiatives in environmental research projects ever. The Grenfell-Baines
        School of Architecture, Construction and Environment (the unit of
      assessment, UoA) was one of nine academic partners to benefit from this
      funding (see REF 5a). OPAL was led at the UoA by Toogood
      (Principal Investigator) from 2007 to 2013. This project has positively
     ____impacted society's awareness of the natural environment and ____inspired over
      half a million people to explore their environment through active
      engagement. OPAL ____has also positively changed the way environmental
      teachers, scientists and other professionals, view and discharge their
      duties.
    "
2799,"
    University of Central Lancashire
    ",Social Work and Social Policy,"
    Services for Children in Out-of-Home Care
    ","
    This case study describes the impact of research on new approaches to the
      organisation and delivery of social work services for children in
      out-of-home care, with international work led by Bilson and work in
      England involving Stanley, Bilson, Larkins and Ridley. The national
      evaluation of Social Work Practices has had significant impact on the
      development of this model of service delivery, and is shaping the
      long-term future of independent social work organisations in England. The
      international work ____has contributed to reducing the use of institutional
      care for children in developing countries and has provided tools for
      developing social services.
    "
2800,"
University of Central Lancashire
",Social Work and Social Policy,"
Potential and Limitations of Policies Promoting Choice, Flexibility and
Control
","
This case study concerns a body of research by Dr Julie Ridley, Dr Helen Spandler and Dr Karen
Newbigging into Self-directed Support (SDS) and Direct Payments (DPs), which examines
perspectives and experiences of policies to promote choice, control and flexibility in social care,
and provides a critique distinguishing between rhetoric and reality. Early qualitative and action
research focused specifically on mental health, including work for the Scottish Executive (Ridley)
and the Department of Health (Spandler), leading to cutting-edge policy critiques (Spandler),
engagement with the field to distil key implementation themes (Newbigging) and later, to broader
based evaluation of SDS policy implementation in Scotland. Collectively and over time, this work
____has had a direct influence on social care policy and law across the UK, as outlined below.
"
2810,"
    University of Central Lancashire
    ",Modern Languages and Linguistics,"
    Working with vulnerable deaf communities to support the vitality of
      endangered rural sign
      languages
    ","
    The International Institute for Sign Languages and Deaf Studies
        (iSLanDS) has led a large
      consortium conducting the first-ever substantial comparative study on
      endangered sign languages
      in small-scale rural communities with long-standing hereditary deafness
      (""village sign languages"").
      The global impact of this work is seen primarily in the domain of language
      endangerment through
      work with UNESCO, with the Foundation for Endangered Languages, and with
      the World
      Federation of the Deaf. This work also ____leads to improved educational
      attainment and professional
      development for the marginalised users of these sign languages, and the
      ____promotion of their
      linguistic rights.
    "
2811,"
    University of Central Lancashire
    ",Modern Languages and Linguistics,"
    Championing linguistic rights and educational opportunities for sign
      language users around the world through Sign Language Typology research
    ","
    The International Institute for Sign Languages and Deaf Studies
        (iSLanDS) is a world leader in the systematic comparative research
      on sign languages (Sign Language Typology), and conducts the world's
      largest typological projects on sign language structures, using a large
      international partnership network. The impact of this work, often in
      developing countries, is seen in the domains of:
    a) ____improved educational attainment and professional development for
      marginalised groups (deaf sign language users); and
    b) linguistic rights for sign language users through engagement with
      international policy makers, non-governmental organisations and
      professional bodies (in India, in Turkey and with international bodies).
    "
2819,"
    University of Central Lancashire
    ","Communication, Cultural and Media Studies, Library and Information Management ","
    Communicating the European Union to its citizens via the news media
        and internet
    ","
    This case study shows how high quality research into the key problems in
      communicating the European Union and its ideas and policies, together
        with the interactions of the researchers involved with politicians,
      media personnel and officials, had a significant impact on how the EU
      communicates with its citizens. Between 2008 and the present the resulting
      identifiable impacts have included a significant on-going contribution to
      the thinking that has occasioned major reforms in the press and
      information policy of the European Parliament. Key recommendations of the
      UoA's research ____have become the practice of the Parliament.
    "
3000,"
Cardiff University
",Politics and International Studies,"
Delineating England
","
Politics staff at Cardiff University (Wincott, Wyn Jones and Scully), working in collaboration with
colleagues at the University of Edinburgh (Jeffery and Henderson) and the Institute for Public
Policy Research (IPPR), have conducted research on changing political identities and
constitutional attitudes in England. This work has had a substantial ____impact on public debates about
the place of England and Englishness within the United Kingdom; had a direct ____impact upon the
McKay Commission report; and ____also influenced the constitutional thinking of the Labour party.
"
3001,"
    Cardiff University
    ",Politics and International Studies,"
    Public Opinion and Welsh Devolution
    ","
    Politics staff at Cardiff have conducted detailed research on public
      attitudes towards devolution in Wales. By directly informing the
      conclusions of the All Wales Convention, and the behaviour of key actors
      in the 2011 Welsh referendum, the research has significantly ____influenced
      the Welsh devolution settlement. The research ____has contributed
      substantially to the on-going work of the Silk Commission. Regular and
      effective public dissemination of key research findings ____has enabled the
      research to inform political debate in Wales. The research ____has also
      contributed to the development of survey capacity in Wales, and thereby
      facilitated the conduct of more regular Welsh political polling.
    "
3259,"
    ",Social Work and Social Policy,"
    Evaluation of a parenting programme (FAST) leads to national roll-out
    ","
    The education gap between children from poor homes and their peers is
      established before they start primary school. These early inequalities
      heavily ____influence children's later outcomes. FAST (Families And Schools
      Together), is a parenting programme that aims to reduce the educational
      effects of deprivation and promote family cohesion. We have carried out
      evaluations of the programme. As a result, the UK government and
      international agencies have endorsed FAST. Specifically, we carried out
      research that has identified strategies for effective replication of the
      programme across a range of disadvantaged communities in different
      contexts. The research underpinned Save the Children UK's decision to
      support the roll out of this intervention, with &#163;7M funding from Lloyds
      Bank and Morrison's grocery chain. Our evaluations of the roll out
      demonstrate a range of impacts on beneficiaries, namely children and
      families: ____increased parental involvement in schools and ____increased social
      capital; ____improved parent to parent support networks, ____increased parent
      community leadership, positive child mental health outcomes and ____increased
      social skills; ____improved academic and school behaviour; ____reduced aggression
      and anxiety as well as ____reduced aggressive and delinquent behaviours after
      eight weeks. The beneficiaries are children, their families and schools,
      and society at large.
    "
3273,"
Middlesex
",Social Work and Social Policy,"
Research supporting legislative change in family migration
","
The impact has its origins in work carried out by social policy (Kofman) and legal (Wray, Howard)
academics from the mid-2000s which challenged existing conceptualisations of family migration,
the absence of gender considerations and the evidential basis for national and European policy in
this field.
This research has culminated since 2011 in an influential intervention in debates on restrictions on
spousal migration, especially relating to income requirements, in Parliament, amongst NGOs and
the public, and on the form and outcome of legal proceedings which challenged the compatibility of
immigration rules restricting spousal migration with human rights and non-discrimination norms.
The impact therefore takes the form of significant ____contribution to legal challenges and policy debate
that are creating impetus for reform.
"
3355,"
University of Sheffield
",Area Studies,"
Repositioning Public Understanding of East Asian Development: Employment
and Regional Depopulation in Japan
","
Dr. Matanle's analysis of the social and cultural geography of Japan is repositioning public
understanding of Japan's development dynamics among the following groups:

Japanese and UK central government (eg. FCO, MIC, CLAIR).
Japanese and UK local authorities (eg. JLGC and Derbyshire CC).
International media and corporate representatives (eg. Economist Corporate Network).
UK school and citizen groups (eg. JSUK, Queen Elizabeth's Grammar School, Horncastle,
Lincolnshire).

By exploring regional and sectoral contradictions in Japan's 20th century expansion and drawing
out implications for Europe, East Asia, and post-tsunami reconstruction, Dr. Matanle's research is
____being used in policy formulation, public discourse and communication, and education to develop a
deeper and more comprehensive approach to anticipating development trends in the 21st century.
"
3356,"
    University of Sheffield
    ",Social Work and Social Policy,"
    International Impact on Policy and Strategy for Ageing
    ","
    This case study shows how Alan Walker's internationally acclaimed
      research on active ageing has
      led to policy and practice changes locally, nationally and internationally
      in response to what is
      widely recognised as the grand societal challenge of population ageing.
      Walker developed the
      concept of active ageing which has been ____adopted by national governments in
      Quebec and
      Northern Ireland, national charities and Sheffield City Council, leading
      in each case to significant
      ____policy change which is benefiting older people. As a result of this work
      Walker was awarded the
      inaugural ESRC Impact Champion prize in 2013
    "
3358,"
    University of Sheffield
    ",Social Work and Social Policy,"
    Developing and sustaining effective multi-agency systems to safeguard
      children from harm
    ","
    Senior managers in agencies in contact with children are frequently
      criticised, particularly in reports following child deaths, for failing to
      facilitate collaborative working to safeguard children. Yet, developing
      and sustaining collaborative systems is not easy. To assist managers,
      Horwath and Morrison developed a conceptual framework and, in
      collaboration with policy-makers and managers in Wales, added standards
      and indicators. These combine to form the building blocks likely to create
      a safe, multidisciplinary, child protection system. Their research has:
    
      Impacted on the ____development of multidisciplinary safeguarding
        partnerships in a number of countries.
      ____Enabled policy makers and senior managers to measure system
        improvements.
      ____Informed statutory guidance.
    
    "
3388,"
    University of Greenwich
    ",English Language and Literature,"
    Activating the Reminiscence Theatre Archive (ARTA)
    ","
    Reminiscence theatre's primary goals are to improve the well-being of
      senior citizens and promote intergenerational dialogue. ARTA has
      successfully engaged 100 marginalised older people, 13 young volunteers
      and over 200 others since 2012. The project ____has created a new model of
      reminiscence theatre by proving that archive material can be used instead
      of live interviews. It has learned the strengths and weaknesses of this
      approach and found creative solutions to the problems. It has also given
      the Reminiscence
        Theatre Archive a long-term `living' future. Finally ARTA has
      disseminated good practice internationally through a website, articles,
      training events and conferences.
    "
3405,"
Cardiff University
","Geography, Environmental Studies and Archaeology","
Changing people's perceptions of the human:animal relationship
","
The Cardiff Osteological Research Group (CORG) has researched the complex relationship
between animals and people, across Britain, Europe and beyond. CORG has taken its research as
the basis for a programme of activities that seeks to challenge modern attitudes to animals through
archaeological studies, and to ___provoke reflection on the present relevance and future development
of animals. Their impact has built on relationships developed with artists and practitioners in
creative industries who have been influenced by the issues researched. By encouraging a range of
audiences to consider the economic, social, ritual and symbolic roles of animals, CORG has
____enriched, ____informed and ____changed the perspectives of individuals who do not normally engage with
the archaeological past, including target groups traditionally excluded from, or not aware of,
academic research.
"
3408,"
    Cardiff University
    ","Public Health, Health Services and Primary Care","
    A scientific foundation for the first national clinical standards in the
      assessment of child abuse.
    ","
    Responding to the crisis in confidence amongst clinicians involved in
      child protection, Cardiff University developed the world's first research
      programme to provide the scientific basis for more reliable clinical
      assessments of child abuse and neglect. The programme, which involves 21
      systematic reviews (updated annually) and related primary studies, ____has
      directly informed five national clinical guidelines, the National Child
      Protection training program and the first NICE guidance on child
      maltreatment. Through the Core-Info website, the evidence base created by
      the Cardiff team is accessed each year by 100,000 users. Key messages from
      their research have been published in a series of Core-Info leaflets which
      have reached more than 250,000 allied professionals nationally. The
      Cardiff research informs standardised national clinical practice, training
      and legal decisions, ultimately improving the recognition and protection
      of children from abuse or neglect.
    "
3467,"
    Cardiff University
    ",Physics,"
    The Herschel Space Observatory: scientific and
        technical outreach
    ","
    We have formulated and executed an extensive public engagement and
      outreach programme based on our leading technical and scientific
      involvement in the Herschel Space Observatory, a &#8364;1 billion
      astronomical satellite which was launched in 2009 and operated until April
      2013. Herschel observed the Universe at far-infrared and
      submillimetre wavelengths with three scientific instruments, one of which
      (SPIRE) was built by an international team led by the Cardiff Astronomy
      Instrumentation Group, and Cardiff astronomers have been at the forefront
      in scientific use of Herschel and SPIRE. The beneficiaries of our
      PR and outreach programme include schoolchildren teachers, the media and
      the general public. The programme has achieved high exposure and impact
      locally, nationally and internationally. It provides inspirational
      personal contact and up-to- date material and information which has
      stimulated widespread and continuing interest in Herschel and also
      helped to raise the profile of STEM subjects, ultimately benefiting the
      economy.
    "
3470,"
    Cardiff University
    ","Architecture, Built Environment and Planning","
    Reforming School Food
    ","
    This research furnished evidence for school food reform in the UK, Italy,
      the USA and developing countries. Examining the pioneering experience of
      school food reformers in Europe, North America and Africa, the research
      showed that the power of public purchase can transform the quality of
      school food. The researchers demonstrated that the most important factor
      behind successful reform is a political culture that prioritizes the
      values of sustainability over price and cost-cutting concerns. This
      insight ____shaped the creation of the Food for Life programme, which
      has been implemented in over 4,000 UK schools. Furthermore, the research
      ____has influenced international public food policies, such as those of the
      United Nations. In recognition of these achievements, the research in this
      case study recently won the Economic and Social Research Council's Celebrating
        Impact Prize for outstanding impact on public policy.
    "
3471,"
    Cardiff University
    ",Modern Languages and Linguistics,"
    Devolution and the Creation of a New Language Law Regime in Wales
    ","
    By 2008, Welsh language policy was failing to deliver consistent
      bilingual public services in Wales. Research at Cardiff University's
      School of Welsh ____helped UK and Welsh Government policy-makers understand
      the weaknesses and inconsistencies of the language regime. The research
      also ____made policy-makers aware of alternative regimes and legislation in
      state-wide and devolved governments overseas. Outcomes based on Cardiff
      recommendations include:
    
       Devolution of Welsh language responsibility from Westminster to the
        Welsh Government;
       A Welsh Government commitment to a national standard of bilingual
        public services, replacing Welsh Language Board (WLB)-agreed Language
        Schemes;
       Establishment of a Welsh Language Commissioner and complaints
        tribunal;
       Legislation improving the National Assembly for Wales' operation as a
        bilingual parliament.
    
    "
3474,"
    Cardiff University
    ","Architecture, Built Environment and Planning","
    Spatial Design Network Analysis (sDNA) - a network analysis tool for
      evidence-based urban planning.
    ","
    City plans and local urban design schemes, especially in rapidly
      developing countries like China, typically rest on limited evidence-based
      analysis. Governments are increasingly demanding better justification of
      such plans. This research has developed a tool that blends spatial
      analysis with economics into a unique methodology to appraise baseline
      plans and evaluate the impact of alternative urban configurations. It
      rests on the premise that complex information about the way people
      interact is mediated through a city's street network. Retrieving that
      information as indices and relating those indices to urban performance
      measures allows urban plans to be evaluated for specific outcomes.
    "
3476,"
    Cardiff University
    ","Psychology, Psychiatry and Neuroscience","
    Influencing international legislation, policy and management strategy
        to improve maritime safety by reducing seafarers' fatigue
    ","
    Research carried out by Cardiff University on the causes of maritime
      fatigue was instrumental in increasing understanding of contributing
      factors such as long working hours, and the inadequacy of current
      reporting systems. Because 90% of goods are transported by sea, fatigue
      influences at the individual and community level, as well as resulting in
      significant financial penalties for companies when accidents occur.
      Cardiff research ____has led to significant changes across industry and
      government in (a) personal awareness/management, such as improved safety
      training and (b) new international legislation and company policy aimed at
      reducing fatigue and improving health and safety at sea.
    "
3481,"
    Cardiff University
    ","Psychology, Psychiatry and Neuroscience","
    Cardiff University research on values changes focus of charitable
        campaigns
    ","
    Professionals in the third sector have changed the key messages of their
      campaigns as a result of
      research from Cardiff University. In this research it was shown that
      people were more likely to be
      eco-friendly when campaigns appealed to their concern for the welfare of
      others, rather than
      financial savings. The findings ____have stimulated ongoing debate among
      eco-campaigners and a
      wider range of professionals in the third sector, government, the national
      press and online
      publications. Leading international non-governmental organisations (NGOs)
      such as Worldwide
      Fund for Nature (WWF) and Oxfam have formed the Common Cause
      initiative to improve their
      communication practices and this has led to changes in campaigning
      strategy.
    "
